"ip";"port";"country code";"city";"region";"country";"level";"http";"https";"socks4";"socks5";"google";"twitter";"instagram";"telegram";"avito";"mailru";"real_ip";"response, msec";"good checks";"bad checks";"hostname"
"72.10.160.170";8907;"KW";"Kuwait City";"Al Asimah";"Кувейт";1;1;1;0;0;0;0;0;0;1;0;"188.236.184.178";268;7;0;"188.236.184.178"
"72.10.160.170";5755;"DO";"Santo Domingo";"Nacional";"Доминиканская Республика";1;1;1;0;0;0;0;0;0;1;0;"152.0.21.33";268;7;0;"33.21.0.152.d.dyn.claro.net.do"
"72.10.160.170";5433;"MX";"Iztapalapa";"Mexico City";"Мексика";1;1;1;0;0;0;0;0;0;1;0;"187.190.184.241";150;16;0;"fixed-187-190-184-241.totalplay.net"
"72.10.160.170";2245;"US";"Lancaster";"Ohio";"США";1;1;1;0;0;0;0;0;0;1;0;"172.59.243.192";150;16;0;"172.59.243.192"
"72.10.160.170";1719;"CO";"Sogamoso";"Departamento de Boyac";"Колумбия";1;1;1;0;0;0;0;0;0;1;0;"45.171.182.110";150;7;0;"45.171.182.110"
"72.10.160.91";21571;"MY";"Kuala Lumpur";"Kuala Lumpur";"Малайзия";1;1;1;0;0;0;0;0;0;0;0;"115.135.26.82";150;20;36;"115.135.26.82"
"72.10.160.90";33179;"BR";"Paulista";"Pernambuco";"Бразилия";1;1;1;0;0;0;0;0;0;1;0;"164.163.15.80";268;47;0;"ip-164.163.15.80.dtel.com.br"
"72.10.160.90";32351;"IN";"Indore";"Madhya Pradesh";"Индия";1;1;1;0;0;0;0;0;0;1;0;"49.43.6.91";150;16;0;"49.43.6.91"
"72.10.160.90";31439;"BD";"Dhaka";"Dhaka";"Бангладеш";1;1;1;0;0;0;0;0;0;1;0;"104.28.240.84";156;31;0;"104.28.240.84"
"72.10.160.90";30837;"SV";"San Salvador";"San Salvador Department";"Сальвадор";1;1;1;0;0;0;0;0;0;1;0;"190.86.73.139";150;22;0;"190.86.73.139"
"72.10.160.90";27899;"VE";"Valencia";"Carabobo";"Венесуэла";1;1;1;0;0;0;0;0;0;1;0;"200.8.240.30";150;16;0;"200.8.240.30"
"72.10.160.90";27433;"ID";"Jakarta";"Jakarta";"Индонезия";1;1;1;0;0;0;0;0;0;1;0;"104.28.245.128";150;47;1;"104.28.245.128"
"72.10.160.90";24479;"TW";"Shoufeng";"Hualien County";"Тайвань";1;1;1;0;0;0;0;0;0;1;0;"134.208.48.13";150;16;0;"134.208.48.13"
"72.10.160.90";22597;"KR";"Tangjin";"Chungcheongnam-do";"Республика Корея";1;1;1;0;0;0;0;0;0;1;0;"1.247.130.73";150;7;0;"1.247.130.73"
"72.10.160.90";19091;"VE";"Maracay";"Aragua";"Венесуэла";1;1;1;0;0;0;0;0;0;1;0;"82.86.115.211";150;7;0;"82.86.115.211"
"72.10.160.90";19005;"AR";"Buenos Aires";"Buenos Aires";"Аргентина";1;1;1;0;0;0;0;0;0;1;0;"186.18.240.22";150;47;0;"186.18.240.22"
"72.10.160.90";18785;"BR";"Recife";"Pernambuco";"Бразилия";1;1;1;0;0;0;0;0;0;1;0;"152.241.38.154";150;41;0;"152-241-38-154.user.vivozap.com.br"
"72.10.160.90";18469;"VE";"Ciudad Ojeda";"Zulia";"Венесуэла";1;1;1;0;0;0;0;0;0;1;0;"181.208.190.193";150;7;0;"181.208.190.193"
"72.10.160.90";17461;"US";"Los Angeles";"California";"США";1;1;1;0;0;0;0;0;0;0;0;"185.193.48.213";150;7;0;"213.48.193.185.in-addr.arpa"
"72.10.160.90";17381;"PE";"Trujillo";"La Libertad";"Перу";1;1;1;0;0;0;0;0;0;1;0;"179.6.166.145";150;7;0;"179.6.166.145"
"72.10.160.90";17341;"US";"Lakewood";"New Jersey";"США";1;1;1;0;0;0;0;0;0;1;0;"67.80.20.186";150;16;0;"ool-435014ba.dyn.optonline.net"
"72.10.160.90";17305;"US";"Philadelphia";"Pennsylvania";"США";1;1;1;0;0;0;0;0;0;0;0;"73.233.96.74";150;16;0;"c-73-233-96-74.hsd1.pa.comcast.net"
"72.10.160.90";16717;"ID";"Jakarta";"Jakarta";"Индонезия";1;1;1;0;0;0;0;0;0;1;0;"182.253.48.171";150;7;0;"182.253.48.171"
"72.10.160.90";16471;"IN";"Delhi";"National Capital Territory of Delhi";"Индия";1;1;1;0;0;0;0;0;0;1;0;"119.252.195.209";150;16;0;"119.252.195.209"
"72.10.160.90";15871;"IN";"Mumbai";"Maharashtra";"Индия";1;1;1;0;0;0;0;0;0;1;0;"203.192.225.23";150;22;0;"dhcp-192-225-23.in2cable.com"
"72.10.160.90";15321;"AR";"San Justo";"Buenos Aires";"Аргентина";1;1;1;0;0;0;0;0;0;1;0;"190.173.177.141";150;31;0;"190.173.177.141"
"72.10.160.90";10929;"BO";"La Paz";"La Paz Department";"Боливия";1;1;1;0;0;0;0;0;0;1;0;"190.129.166.16";150;19;2;"190.129.166.16"
"72.10.160.90";9607;"CA";"Thetford-Mines";"Quebec";"Канада";1;1;1;0;0;0;0;0;0;1;0;"142.113.18.17";149;41;0;"bras-base-thmnpq3708w-grc-05-142-113-18-17.dsl.bell.ca"
"72.10.160.90";9321;"US";"Fort Worth";"Texas";"США";1;0;1;0;0;0;0;0;0;0;0;"104.60.145.144";149;16;1;"104-60-145-144.lightspeed.rcsntx.sbcglobal.net"
"72.10.160.90";7679;"AE";"Dubai";"Dubai";"ОАЭ";1;1;1;0;0;0;0;0;0;1;0;"83.110.197.248";149;7;0;"bba-83-110-197-248.alshamil.net.ae"
"72.10.160.90";6347;"EC";"Quito";"Pichincha";"Эквадор";1;1;1;0;0;0;0;0;0;1;0;"191.99.59.16";149;16;0;"cgnathfc-191-99-59-16.customer.claro.com.ec"
"72.10.160.90";5757;"DO";"Santo Domingo";"Nacional";"Доминиканская Республика";1;1;1;0;0;0;0;0;0;1;0;"148.255.19.121";149;31;0;"121.19.255.148.d.dyn.claro.net.do"
"72.10.160.90";5007;"BR";"Sertozinho";"So Paulo";"Бразилия";1;1;1;0;0;0;0;0;0;1;0;"179.156.85.117";149;21;3;"b39c5575.virtua.com.br"
"72.10.160.90";4059;"VE";"Caracas";"Distrito Federal";"Венесуэла";1;1;1;0;0;0;0;0;0;1;0;"190.6.32.86";149;47;0;"host-190-6-32-86.net-uno.net"
"72.10.160.90";3429;"MX";"Mrida";"Yucatn";"Мексика";1;1;1;0;0;0;0;0;0;1;0;"187.155.153.169";149;16;0;"187.155.153.169"
"72.10.160.90";2725;"CO";"Bucaramanga";"Santander Department";"Колумбия";1;1;1;0;0;0;0;0;0;1;0;"191.110.232.83";149;7;0;"191.110.232.83"
"72.10.160.90";1759;"PK";"Islamabad";"Islamabad";"Пакистан";1;1;1;0;0;0;0;0;0;1;0;"154.192.156.57";149;7;0;"154.192.156.57"
"67.43.236.19";15037;"KW";"As Slimyah";"Hawalli";"Кувейт";1;1;1;0;0;0;0;0;0;1;0;"37.39.164.14";278;38;2;"37.39.164.14"
"67.43.236.18";33251;"ID";"Jakarta";"Jakarta";"Индонезия";1;0;1;0;0;0;0;0;0;0;0;"114.10.42.69";278;4;0;"114.10.42.69"
"67.43.236.18";32469;"CU";"Havana";"Havana";"Куба";1;1;1;0;0;0;0;0;0;1;0;"200.55.178.237";157;4;0;"200.55.178.237"
"67.43.236.18";31981;"IN";"New Delhi";"National Capital Territory of Delhi";"Индия";1;1;1;0;0;0;0;0;0;1;0;"103.48.197.246";157;10;0;"103.48.197.246"
"67.43.236.18";31161;"CO";"Bogot";"Bogota D.C.";"Колумбия";1;1;1;0;0;0;0;0;0;1;0;"67.73.244.218";157;19;1;"67.73.244.218"
"67.43.236.18";30767;"CA";"Coquitlam";"British Columbia";"Канада";1;1;1;0;0;0;0;0;0;1;0;"207.81.25.40";157;10;0;"207.81.25.40"
"67.43.236.18";30477;"BO";"Santa Cruz";"Santa Cruz Department";"Боливия";1;1;1;0;0;0;0;0;0;1;0;"189.28.75.240";157;25;1;"lpz-189-28-75-00240.tigo.bo"
"67.43.236.18";30173;"KR";"Osan";"Gyeonggi-do";"Республика Корея";1;1;1;0;0;0;0;0;0;1;0;"220.120.56.183";156;22;0;"220.120.56.183"
"67.43.236.18";29959;"AU";"Sydney";"New South Wales";"Австралия";1;1;1;0;0;0;0;0;0;1;0;"203.91.234.11";156;4;0;"203-91-234-11.sta.wbroadband.net.au"
"67.43.236.18";29275;"CA";"Scarborough";"Ontario";"Канада";1;0;1;0;0;0;0;0;0;1;0;"99.227.234.144";277;22;0;"pool-99-227-234-144.cpe.net.cable.rogers.com"
"67.43.236.18";29031;"CO";"Medelln";"Antioquia";"Колумбия";1;1;1;0;0;0;0;0;0;1;0;"181.140.116.3";156;7;0;"hfc-181-140-116-3.une.net.co"
"67.43.236.18";27533;"ID";"";"";"Индонезия";1;1;1;0;0;0;0;0;0;1;0;"160.19.227.119";156;10;0;"160.19.227.119"
"67.43.236.18";26695;"VN";"Hanoi";"Hanoi";"Вьетнам";1;1;1;0;0;0;0;0;0;1;0;"14.191.165.213";156;10;0;"14.191.165.213"
"67.43.236.18";24877;"KH";"Phnom Penh";"Phnom Penh";"Камбоджа";1;1;1;0;0;0;0;0;0;0;0;"175.100.53.39";156;7;0;"175.100.53.39"
"67.43.236.18";24493;"ID";"";"";"Индонезия";1;1;1;0;0;0;0;0;0;0;0;"203.78.121.102";156;10;0;"203.78.121.102"
"67.43.236.18";23027;"BD";"Dhaka";"Dhaka";"Бангладеш";1;1;1;0;0;0;0;0;0;1;0;"103.107.135.188";156;7;0;"103.107.135.188"
"67.43.236.18";21217;"IN";"Coimbatore";"Tamil Nadu";"Индия";1;1;1;0;0;0;0;0;0;1;0;"49.47.217.199";156;4;0;"49.47.217.199"
"67.43.236.18";20357;"VE";"Coro";"Falcn";"Венесуэла";1;1;1;0;0;0;0;0;0;1;0;"45.190.168.14";156;4;0;"45.190.168.14"
"67.43.236.18";20201;"EC";"Manta";"Manab";"Эквадор";1;1;1;0;0;0;0;0;0;1;0;"170.82.158.117";156;4;0;"117-158-82-170.ufinetlatam.net.ec"
